Num	Ending	Class
1	거나	1
2	거늘	1
3	거니	1
4	거니와	1
5	거드면	1
6	거든	1
7	거라	9
8	건	1
9	건대	9
10	건마는	1
11	것다	1
12	게	1
13	게	4
14	게	9
15	게끔	9
16	게나	9
17	겠	1
18	고	1
19	고는	4
20	고는	9
21	고도	1
22	고말고	1
23	고서	9
24	고야	9
25	고자	12
26	곤	9
27	관데	1
28	구나	16
29	구려	9
30	구려	16
31	구먼	9
32	군	16
33	기	1
34	기로	1
35	기로니	1
36	기로서	1
37	기로서니	1
38	기로선들	1
39	기에	1
40	ㄴ	10
41	ㄴ	23
42	ㄴ가	18
43	ㄴ감	18
44	ㄴ걸	2
45	ㄴ고	18
46	ㄴ다	10
47	ㄴ다고	10
48	ㄴ다나	10
49	ㄴ다네	10
50	ㄴ다느니	10
51	ㄴ다니	10
52	ㄴ다니까	10
53	ㄴ다더라	10
54	ㄴ다마는	10
55	ㄴ다며	10
56	ㄴ다면	10
57	ㄴ다면서	10
58	ㄴ다손	10
59	ㄴ다오	10
60	ㄴ다지	10
61	ㄴ단다	10
62	ㄴ담	10
63	ㄴ답니까	10
64	ㄴ답니다	10
65	ㄴ답시고	10
66	ㄴ대	10
67	ㄴ대요	10
68	ㄴ데	18
69	ㄴ뎁쇼	17
70	ㄴ들	2
71	ㄴ바	2
72	ㄴ즉	2
73	ㄴ즉슨	2
74	ㄴ지	18
75	나	2
76	나	9
77	나니	9
78	나마	2
79	나이까	12
80	나이다	12
81	남	9
82	냐	18
83	냐고	18
84	너라	23
85	네	1
86	노니	9
87	노라	9
88	노라고	9
89	노라니	12
90	노라니까	12
91	노라면	12
92	뇨	17
93	누	4
94	누나	9
95	누먼	9
96	느냐	12
97	느냐고	12
98	느뇨	12
99	느니	12
100	느니라	12
101	느니만	12
102	느니만치	12
103	느니만큼	12
104	느라	9
105	느라고	9
106	는	12
107	는	12
108	는가	12
109	는감	12
110	는걸	12
111	는고	12
112	는구나	9
113	는구려	9
114	는군	9
115	는다	14
116	는다고	14
117	는다나	14
118	는다네	14
119	는다느니	14
120	는다니	14
121	는다니까	14
122	는다더라	14
123	는다마는	14
124	는다며	14
125	는다면	14
126	는다면서	14
127	는다손	14
128	는다오	14
129	는다지	14
130	는단다	14
131	는담	14
132	는답니까	14
133	는답니다	14
134	는답시고	14
135	는대	14
136	는대요	14
137	는데	12
138	는뎁쇼	12
139	는바	12
140	는지	12
141	는지고	12
142	는지라	12
143	니	1
144	니	2
145	니	18
146	니까	2
147	니까는	2
148	니라	18
149	니만치	2
150	니만큼	2
151	다	1
152	다가	1
153	다가는	1
154	다간	1
155	다고	19
156	다나	19
157	다네	19
158	다느니	19
159	다니	1
160	다니	19
161	다니까	19
162	다더라	19
163	다마는	19
164	다마다	1
165	다며	19
166	다면	19
167	다면서	19
168	다손	19
169	다지	19
170	단다	19
171	담	19
172	답니까	19
173	답니다	19
174	답시고	19
175	대	19
176	대요	19
177	더	1
178	더구나	1
179	더구려	1
180	더군	1
181	더냐	1
182	더뇨	1
183	더니	1
184	더니라	1
185	더니마는	1
186	더니만	1
187	더니이까	1
188	더니이다	1
189	더라	1
190	더라나	1
191	더라니	1
192	더라니까	1
193	더라도	1
194	더라며	1
195	더라면	1
196	더라면서	1
197	더라손	1
198	더라지	1
199	더람	1
200	더이까	1
201	더이다	1
202	던	1
203	던가	1
204	던감	1
205	던걸	1
206	던고	1
207	던데	1
208	던바	1
209	던지	1
210	데	1
211	데요	1
212	도다	1
213	도록	9
214	되	1
215	든	1
216	든가	1
217	든지	1
218	듯	1
219	듯이	1
220	디	4
221	디	19
222	ㄹ	2
223	ㄹ거나	10
224	ㄹ걸	2
225	ㄹ게	10
226	ㄹ까	2
227	ㄹ깝쇼	10
228	ㄹ는지	2
229	ㄹ라	2
230	ㄹ라고	2
231	ㄹ라치면	10
232	ㄹ락	10
233	ㄹ래	10
234	ㄹ러니	2
235	ㄹ러라	2
236	ㄹ런고	2
237	ㄹ레	2
238	ㄹ레라	2
239	ㄹ망정	2
240	ㄹ밖에	2
241	ㄹ뿐더러	2
242	ㄹ사	2
243	ㄹ새	2
244	ㄹ세	2
245	ㄹ세	5
246	ㄹ세라	2
247	ㄹ세말이지	2
248	ㄹ수록	2
249	ㄹ시	2
250	ㄹ시고	18
251	ㄹ쏘냐	2
252	ㄹ쏜가	2
253	ㄹ작시면	10
254	ㄹ지	2
255	ㄹ지나	2
256	ㄹ지니	2
257	ㄹ지니라	2
258	ㄹ지라	2
259	ㄹ지라도	2
260	ㄹ지로다	2
261	ㄹ지며	10
262	ㄹ지어다	2
263	ㄹ지언정	2
264	ㄹ진대	2
265	ㄹ진대는	2
266	ㄹ진댄	2
267	ㄹ진저	2
268	라	22
269	라고	10
270	라고	22
271	라나	22
272	라네	22
273	라니	22
274	라니까	22
275	라도	22
276	라며	22
277	라면	22
278	라면서	22
279	라서	22
280	라야	22
281	라야만	22
282	라오	22
283	라지	22
284	락	5
285	란다	22
286	랍니까	22
287	랍니다	22
288	랍시고	22
289	래	22
290	래요	22
291	랴	10
292	러	10
293	러니	22
294	러니라	22
295	러니이까	22
296	러니이다	22
297	러라	22
298	러이까	22
299	러이다	22
300	런가	22
301	런들	22
302	려	10
303	려거든	2
304	려고	2
305	려나	2
306	려니	2
307	려니와	2
308	려든	10
309	려면	2
310	려무나	10
311	련마는	2
312	련만	2
313	렴	10
314	렷다	2
315	로고	22
316	로구나	22
317	로구려	22
318	로군	22
319	로다	22
320	로되	22
321	로라	22
322	로서니	22
323	로세	22
324	리	2
325	리까	2
326	리니	2
327	리니라	2
328	리다	2
329	리라	2
330	리로다	2
331	리만치	5
332	리만큼	5
333	리오	2
334	ㅁ	2
335	ㅁ세	10
336	ㅁ에도	2
337	ㅁ에랴	2
338	마	10
339	매	2
340	며	2
341	면	2
342	면서	2
343	므로	2
344	ㅂ네	2
345	ㅂ늰다	2
346	ㅂ니까	2
347	ㅂ니다	2
348	ㅂ디까	2
349	ㅂ디다	2
350	ㅂ딘다	2
351	ㅂ시다	10
352	ㅂ시사	10
353	ㅂ시오	10
354	ㅂ죠	16
355	ㅂ지요	16
356	사	5
357	사이다	10
358	세	10
359	세나	9
360	세요	2
361	셔요	2
362	소	4
363	소서	5
364	소이까	1
365	습네	8
366	습늰다	8
367	습니까	8
368	습니다	8
369	습디까	8
370	습디다	8
371	습딘다	8
372	습죠	8
373	습지요	8
374	시	2
375	시라	10
376	시압	10
377	시어요	2
378	십사	10
379	십시다	10
380	십시오	10
381	아	6
382	아다	11
383	아다가	11
384	아도	6
385	아라	6
386	아서	6
387	아야	6
388	아야만	6
389	아야지	6
390	아요	6
391	아지이다	6
392	았	6
393	았었	6
394	았자	6
395	야	22
396	어	3
397	어다	15
398	어다가	15
399	어도	3
400	어라	3
401	어서	3
402	어야	3
403	어야만	3
404	어야지	3
405	어요	3
406	어지이다	3
407	언마는	22
408	언정	22
409	었	3
410	었었	3
411	에요	21
412	여	24
413	여도	24
414	여라	24
415	여서	24
416	여야	24
417	여야지	24
418	여요	24
419	여지이다	24
420	였	24
421	였었	24
422	였자	24
423	오	5
424	오니까	5
425	오리까	5
426	오리다	5
427	오리이까	5
428	오리이다	5
429	오이다	5
430	올시다	22
431	옵	5
432	옵나이까	5
433	옵나이다	5
434	옵니까	5
435	옵니다	5
436	옵디까	5
437	옵디다	5
438	옵소서	5
439	옵시	5
440	와	5
441	외다	5
442	요	22
443	우	19
444	으나	7
445	으나마	7
446	으냐	20
447	으냐고	20
448	으뇨	20
449	으니	7
450	으니	20
451	으니까	7
452	으니까는	7
453	으니라	20
454	으니만치	7
455	으니만큼	7
456	으라	13
457	으라고	13
458	으라나	13
459	으라느니	13
460	으라니까	13
461	으라며	13
462	으라면서	13
463	으라손	13
464	으락	13
465	으란	13
466	으람	13
467	으랴	13
468	으러	13
469	으려	13
470	으려거든	13
471	으려고	13
472	으려나	13
473	으려니	13
474	으려니와	7
475	으려든	13
476	으려면	7
477	으려무나	13
478	으련	13
479	으련마는	7
480	으렴	13
481	으렵니까	13
482	으렵니다	13
483	으렷다	7
484	으리	7
485	으리까	7
486	으리니	7
487	으리니라	7
488	으리다	7
489	으리라	7
490	으리로다	7
491	으리만치	7
492	으리만큼	7
493	으리오	7
494	으마	13
495	으매	7
496	으며	7
497	으면	7
498	으면서	7
499	으므로	7
500	으사	7
501	으사이다	13
502	으세	13
503	으세요	7
504	으셔요	7
505	으소서	7
506	으시	7
507	으시라	13
508	으시압	13
509	으시어요	7
510	으십사	13
511	으십시다	13
512	으십시오	13
513	으오	7
514	으오니까	7
515	으오리까	7
516	으오리다	7
517	으오리이까	7
518	으오리이다	7
519	으오이다	7
520	으옵	7
521	으옵나이까	7
522	으옵나이다	7
523	으옵니까	7
524	으옵니다	7
525	으옵디까	7
526	으옵디다	7
527	으옵소서	7
528	으옵시	7
529	으와	7
530	으우	7
531	으이	20
532	은	7
533	은가	20
534	은감	20
535	은걸	7
536	은고	20
537	은데	20
538	은뎁쇼	20
539	은들	7
540	은즉	7
541	은즉슨	7
542	은지	20
543	을	7
544	을거나	13
545	을걸	7
546	을게	13
547	을까	7
548	을깝쇼	13
549	을는지	7
550	을데라니	20
551	을라	7
552	을라고	7
553	을라치면	13
554	을락	13
555	을래	13
556	을러니	7
557	을러라	7
558	을런가	7
559	을런고	7
560	을레	7
561	을레라	7
562	을망정	7
563	을밖에	7
564	을뿐더러	7
565	을새	7
566	을세	7
567	을세라	7
568	을세말이지	7
569	을수록	7
570	을시	7
571	을시고	20
572	을쏘냐	7
573	을쏜가	7
574	을작시면	13
575	을지	7
576	을지나	7
577	을지니	7
578	을지니라	7
579	을지라	7
580	을지라도	7
581	을지로다	7
582	을지며	7
583	을지어다	7
584	을지언정	7
585	을진대	7
586	을진대는	7
587	을진저	7
588	음	7
589	음세	13
590	음에도	7
591	음에랴	7
592	읍시다	13
593	읍시사	13
594	읍시오	7
595	자	9
596	자고	9
597	자꾸나	9
598	자느니	9
599	자니까	9
600	자마자	9
601	자며	9
602	자면	9
603	자면서	9
604	자손	9
605	죠	1
606	지	4
607	지마는	1
608	지만	1
609	지요	1